refdate,refdate2,date,team,opponent,win,runs,runs_allowed
 4/ 4, 4/ 4/2014,4/4/2014,WSN,ATL,FALSE,1,2
 4/ 5, 4/ 5/2014,4/5/2014,WSN,ATL,FALSE,2,6
 4/ 6, 4/ 6/2014,4/6/2014,WSN,ATL,TRUE,2,1
 4/ 8, 4/ 8/2014,4/8/2014,WSN,MIA,TRUE,5,0
 4/ 9, 4/ 9/2014,4/9/2014,WSN,MIA,TRUE,10,7
 4/ 10, 4/ 10/2014,4/10/2014,WSN,MIA,TRUE,7,1
 4/ 11, 4/ 11/2014,4/11/2014,WSN,ATL,FALSE,6,7
 4/ 12, 4/ 12/2014,4/12/2014,WSN,ATL,FALSE,3,6
 4/ 13, 4/ 13/2014,4/13/2014,WSN,ATL,FALSE,2,10
 4/ 14, 4/ 14/2014,4/14/2014,WSN,MIA,TRUE,9,2
 4/ 15, 4/ 15/2014,4/15/2014,WSN,MIA,FALSE,2,11
